id,type,guard_name,name,description,parent_id,sort,created_at,updated_at
1,admin,web,admin.access.user,All User Permissions,null,1,2020-12-01 8:45:41,2020-12-01 8:45:41
2,admin,web,admin.access.user.list,View Users,1,1,2020-12-01 8:45:41,2020-12-01 8:45:41
3,admin,web,admin.access.user.deactivate,Deactivate Users,1,2,2020-12-01 8:45:41,2020-12-01 8:45:41
4,admin,web,admin.access.user.reactivate,Reactivate Users,1,3,2020-12-01 8:45:41,2020-12-01 8:45:41
5,admin,web,admin.access.user.clear-session,Clear User Sessions,1,4,2020-12-01 8:45:41,2020-12-01 8:45:41
6,admin,web,admin.access.user.impersonate,Impersonate Users,1,5,2020-12-01 8:45:41,2020-12-01 8:45:41
7,admin,web,admin.access.user.change-password,Change User Passwords,1,6,2020-12-01 8:45:41,2020-12-01 8:45:41
8,admin,web,LANDLORD,All groupadmin permissions,null,3,2020-12-01 8:45:41,2020-12-01 8:45:41
9,admin,web,LANDLORD_LIST,View all,8,1,2020-12-01 8:45:41,2020-12-01 8:45:41
10,admin,web,LANDLORD_CREATE,Create,8,2,2020-12-01 8:45:41,2020-12-01 8:45:41
11,admin,web,LANDLORD_VIEW,View,8,3,2020-12-01 8:45:41,2020-12-01 8:45:41
12,admin,web,LANDLORD_EDIT,Edit,8,4,2020-12-01 8:45:41,2020-12-01 8:45:41
13,admin,web,LANDLORD_DELETE,Delete,8,5,2020-12-01 8:45:41,2020-12-01 8:45:41
14,admin,web,TENANT,All tenant permissions,null,2,2020-12-01 8:45:41,2020-12-01 8:45:41
15,admin,web,TENANT_LIST,View all,14,1,2020-12-01 8:45:41,2020-12-01 8:45:41
16,admin,web,TENANT_CREATE,Create,14,2,2020-12-01 8:45:41,2020-12-01 8:45:41
17,admin,web,TENANT_VIEW,View,14,3,2020-12-01 8:45:41,2020-12-01 8:45:41
18,admin,web,TENANT_EDIT,Edit,14,4,2020-12-01 8:45:41,2020-12-01 8:45:41
19,admin,web,TENANT_DELETE,Delete,14,5,2020-12-01 8:45:41,2020-12-01 8:45:41
20,admin,web,USEREXTRA,All user permissions,null,4,2020-12-01 8:45:41,2020-12-01 8:45:41
21,admin,web,USEREXTRA_LIST,View all,20,1,2020-12-01 8:45:41,2020-12-01 8:45:41
22,admin,web,USEREXTRA_CREATE,Create,20,2,2020-12-01 8:45:41,2020-12-01 8:45:41
23,admin,web,USEREXTRA_VIEW,View,20,3,2020-12-01 8:45:41,2020-12-01 8:45:41
24,admin,web,USEREXTRA_EDIT,Edit,20,4,2020-12-01 8:45:41,2020-12-01 8:45:41
25,admin,web,USEREXTRA_DELETE,Delete,20,5,2020-12-01 8:45:41,2020-12-01 8:45:41
26,admin,web,BOOK,All contact permissions,null,5,2020-12-01 8:45:41,2020-12-01 8:45:41
27,admin,web,BOOK_LIST,View all,26,1,2020-12-01 8:45:41,2020-12-01 8:45:41
28,admin,web,BOOK_CREATE,Create,26,2,2020-12-01 8:45:41,2020-12-01 8:45:41
29,admin,web,BOOK_VIEW,View,26,3,2020-12-01 8:45:41,2020-12-01 8:45:41
30,admin,web,BOOK_EDIT,Edit,26,4,2020-12-01 8:45:41,2020-12-01 8:45:41
31,admin,web,BOOK_DELETE,Delete,26,5,2020-12-01 8:45:41,2020-12-01 8:45:41
32,admin,web,BOOK_EXPORT,Export,26,6,2020-12-01 8:45:41,2020-12-01 8:45:41
33,admin,web,BOOK_IMPORT,Import,26,7,2020-12-01 8:45:41,2020-12-01 8:45:41
34,admin,web,AUTHOR,All company permissions,null,6,2020-12-01 8:45:41,2020-12-01 8:45:41
35,admin,web,AUTHOR_LIST,View all,34,1,2020-12-01 8:45:41,2020-12-01 8:45:41
36,admin,web,AUTHOR_CREATE,Create,34,2,2020-12-01 8:45:41,2020-12-01 8:45:41
37,admin,web,AUTHOR_VIEW,View,34,3,2020-12-01 8:45:41,2020-12-01 8:45:41
38,admin,web,AUTHOR_EDIT,Edit,34,4,2020-12-01 8:45:41,2020-12-01 8:45:41
39,admin,web,AUTHOR_DELETE,Delete,34,5,2020-12-01 8:45:41,2020-12-01 8:45:41
40,admin,web,AUTHOR_EXPORT,Export,34,6,2020-12-02 8:45:41,2020-12-02 8:45:41
41,admin,web,AUTHOR_IMPORT,Import,34,7,2020-12-01 8:45:41,2020-12-01 8:45:41
42,admin,web,BRAND,All brand permissions,null,7,2020-12-01 8:45:41,2020-12-01 8:45:41
43,admin,web,BRAND_LIST,View all,42,1,2020-12-01 8:45:41,2020-12-01 8:45:41
44,admin,web,BRAND_CREATE,Create,42,2,2020-12-01 8:45:41,2020-12-01 8:45:41
45,admin,web,BRAND_VIEW,View,42,3,2020-12-01 8:45:41,2020-12-01 8:45:41
46,admin,web,BRAND_EDIT,Edit,42,4,2020-12-01 8:45:41,2020-12-01 8:45:41
47,admin,web,BRAND_DELETE,Delete,42,5,2020-12-01 8:45:41,2020-12-01 8:45:41
